,name_e,id,name,p_img,p_name,p_tooltip,q_img,q_name,q_cool,q_cost,q_range,q_tooltip,w_img,w_name,w_cool,w_cost,w_range,w_tooltip,e_img,e_name,e_cool,e_cost,e_range,e_tooltip,r_img,r_name,r_cool,r_cost,r_range,r_tooltip
0,Aatrox,266,아트록스,Aatrox_Passive.png,사신 태세,주기적으로 아트록스의 기본 공격이 대상 최대 체력에 비례하여 추가 물리 피해를 입히고 자신의 체력을 회복합니다. ,AatroxQ.png,다르킨의 검,"[14, 12, 10, 8, 6]",0,25000,아트록스가 대검을 내리쳐 ?의 물리 피해를 입힙니다. 끝에 적중한 적을 잠깐 공중으로 띄워 올리고 ?의 피해를 입힙니다. 이 스킬은 두 번 재사용할 수 있으며 다시 사용할 때마다 범위 모양이 변하고 이전보다 25% 더 많은 피해를 입힙니다.,AatroxW.png,지옥사슬,"[20, 18.5, 17, 15.5, 14]",0,825,아트록스가 사슬을 발사하여 처음 적중한 적을 ?초 동안 ?%만큼 둔화시키고 ?의 물리 피해를 입힙니다. 챔피언과 대형 정글 몬스터는 ?초 안에 해당 지역을 벗어나지 않으면 중심으로 끌려가 다시 같은 양의 피해를 입습니다.,AatroxE.png,파멸의 돌진,"[9, 8, 7, 6, 5]",0,25000,기본 지속 효과: 아트록스가 챔피언을 상대로 ?%의 모든 피해 흡혈을 얻고 세계의 종결자 사용 중에 ?%의 모든 피해 흡혈을 얻습니다.사용 시: 아트록스가 돌진합니다. 이 스킬은 다른 스킬이 진행되는 동안 사용할 수 있습니다.,AatroxR.png,세계의 종결자,"[120, 100, 80]",0,25000,"아트록스가 진정한 악마의 모습을 드러내 근처 미니언이 ?초 동안 공포에 떨게 하고 이동 속도가 ?% 증가했다가 ?초에 걸쳐 원래대로 돌아옵니다. 지속시간 동안 공격력이 ?%, 자신에 대한 체력 회복 효과가 ?% 증가합니다.챔피언 처치 관여 시 이 효과의 지속시간이 ?초 늘어나고 이동 속도 효과가 초기화됩니다."
1,Ahri,103,아리,Ahri_Passive.png,정기 흡수,아리가 9명의 적에게 스킬을 맞추면 다음 스킬로 적중한 적 하나당 체력을 회복합니다.,AhriQ.png,현혹의 구슬,"[7, 7, 7, 7, 7]",65/70/75/80/85,970,아리가 구슬을 던진 후 다시 받습니다. 던질 때는 ?의 마법 피해를 입히며 돌아올 때는 ?의 고정 피해를 입힙니다.,AhriW.png,여우불,"[9, 8, 7, 6, 5]",40,700,아리가 근처 적에게 날아가는 여우불 세 개를 방출하여 ?의 마법 피해를 입힙니다. 첫 번째 여우불이 적중한 후에는 ?의 피해로 감소합니다. 또한 이동 속도가 ?% 증가했다가 ?초에 걸쳐 원래대로 돌아옵니다.,AhriE.png,매혹,"[12, 12, 12, 12, 12]",70,975,아리가 키스를 날려 첫 번째로 맞는 적을 ?초 동안 매혹하고 ?의 마법 피해를 입힙니다. 매혹된 적은 ?초 동안 아리의 스킬로부터 ?%의 피해를 추가로 받습니다.,AhriR.png,혼령 질주,"[130, 105, 80]",100,450,아리가 민첩하게 질주하며 챔피언을 우선으로 근처 적에게 혼령의 정기 ?개를 쏘아내 정기 하나당 ?의 마법 피해를 입힙니다. ?초 안에 최대 두 번까지 재사용한 뒤 재사용 대기시간이 적용됩니다.
2,Akali,84,아칼리,Akali_Passive.png,암살자의 표식,스킬 공격으로 챔피언에게 피해를 입히면 해당 챔피언의 주변에 원이 생깁니다. 이 원의 경계를 넘어가면 다음 기본 공격의 사거리가 길어지고 추가 피해를 입힙니다.,AkaliQ.png,오연투척검,"[1.5, 1.5, 1.5, 1.5, 1.5]",130/115/100/85/70,550,아칼리가 단검을 부채꼴 모양으로 던져 ?의 마법 피해를 입히고 사거리 끝에 있는 적들을 ?초 동안 ?%만큼 둔화시킵니다.,AkaliW.png,황혼의 장막,"[20, 20, 20, 20, 20]",0,350,아칼리가 연막탄을 떨어뜨려 ?초 동안 지속되는 연막을 생성하고 이동 속도가 ?% 증가했다가 ?초에 걸쳐 원래대로 돌아옵니다.황혼의 장막이 활성화된 동안 아칼리의 기력이 ? 증가합니다. 아칼리는 연막 안에서 투명 상태가 됩니다.,AkaliE.png,표창곡예,"[16, 14.5, 13, 11.5, 10]",30,825,아칼리가 뒤로 공중제비를 돌며 표창을 던져 ?의 마법 피해를 입히고 표창에 맞은 첫 번째 적이나 연막에 표식을 남깁니다. 한 번 더 재사용하면 표식을 남긴 대상에게 돌진해 ?의 마법 피해를 입힙니다.,AkaliR.png,무결처형,"[100, 80, 60]",0,675,아칼리가 적 챔피언을 뛰어넘어 경로 내에 있는 모든 적에게 ?의 마법 피해를 입힙니다. ?초 후 재사용하면 적들을 관통하며 돌진하여 대상이 잃은 체력에 비례해 ?~?의 마법 피해를 입힙니다.
3,Akshan,166,아크샨,Akshan_Passive.png,비열한 싸움,아크샨의 기본 공격 및 스킬이 세 번 적중할 때마다 추가 물리 피해를 입힙니다. 대상이 챔피언인 경우 아크샨이 보호막을 얻습니다.아크샨이 기본 공격 후 피해량이 감소한 두 번째 공격을 발사합니다. 추가 공격을 도중에 취소하면 대신 이동 속도가 증가합니다.,AkshanQ.png,복수의 부메랑,"[8, 7.25, 6.5, 5.75, 5]",60/65/70/75/80,850,아크샨이 부메랑을 던져 ?의 물리 피해를 입힙니다. 적에게 적중할 때마다 부메랑의 사거리가 증가합니다.부메랑이 챔피언에게 적중하면 아크샨의 이동 속도가 ?% 증가했다가 ?초에 걸쳐 원래대로 돌아옵니다.,AkshanW.png,악당 처단,"[18, 14, 10, 6, 2]",40/30/20/10/0,5500,"기본 지속 효과: 적 챔피언이 아군을 처치하면 ?초 동안 악당이 됩니다. 악당이 아크샨에게 피해를 입은 후 ?초 안에 죽으면 아크샨이 ?골드를 얻고 처치된 아군들을 부활시키며 다른 적의 악당 효과를 전부 없앱니다.사용 시: 아크샨이 ?초간 위장 상태가 됩니다. 벽 근처나 수풀 안에 있으면 영구적으로 유지됩니다. 위장 상태에서 악당에게 다가갈 때 이동 속도가 ?, 잃은 마나 재생이 ?% 증가합니다.",AkshanE.png,영웅의 비상,"[18, 16.5, 15, 13.5, 12]",70,800,첫 사용 시: 아크샨이 적중한 첫 번째 지형에 고정되는 갈고리총을 발사합니다.두 번째 사용 시: 아크샨이 갈고리에 매달려 이동하며 가장 가까운 적에게 연속으로 탄환을 발사해 한 발당 ?의 물리 피해를 입힙니다.세 번째 사용 시: 아크샨이 밧줄을 놓고 뛰어내리며 마지막 탄환을 발사합니다.적 챔피언이나 지형에 부딪히면 영웅의 비상이 일찍 끝납니다.챔피언 처치 관여 시 이 스킬의 재사용 대기시간이 초기화됩니다.,AkshanR.png,인과응보,"[100, 85, 70]",100,2500,아크샨이 챔피언을 조준하고 최대 ?초간 총을 과충전해 탄환을 ?개까지 저장합니다.재사용 시: 아크샨이 저장한 탄환을 발사합니다. 각 탄환은 처음으로 적중한 적이나 구조물에 최소 ?의 물리 피해를 입힙니다. 피해량은 대상이 잃은 체력에 비례해 최대 ?의 물리 피해를 입힙니다.
4,Alistar,12,알리스타,Alistar_Passive.png,승리의 포효,"근처에서 적이 죽거나, 알리스타가 적 챔피언을 기절 혹은 이동시킬 때마다 포효를 중첩시킵니다. 최대치까지 중첩되면 근처의 모든 아군 챔피언과 자신의 체력을 회복시킵니다.",AlistarQ.png,분쇄,"[15, 14, 13, 12, 11]",65/70/75/80/85,365,알리스타가 땅을 내리쳐 ?초 동안 적을 공중으로 띄워 올리고 ?의 마법 피해를 입힙니다.,AlistarW.png,박치기,"[14, 13, 12, 11, 10]",65/70/75/80/85,650,알리스타가 적에게 박치기를 하여 뒤로 밀어내고 ?의 마법 피해를 입힙니다.,AlistarE.png,짓밟기,"[12, 11.5, 11, 10.5, 10]",50/60/70/80/90,350,알리스타가 땅을 짓밟기 시작하며 유체화 상태가 되고 ?초에 걸쳐 근처 적에게 ?의 마법 피해를 입힙니다. 이 스킬로 챔피언에게 피해를 입힐 때마다 중첩이 1회 쌓입니다.?회 중첩되면 알리스타의 다음 기본 공격이 대상을 ?초 동안 기절시키고 ?의 마법 피해를 추가로 입힙니다.,AlistarR.png,꺾을 수 없는 의지,"[120, 100, 80]",100,1,알리스타가 즉시 모든 방해 효과를 없애고 ?초 동안 받는 피해가 ?% 감소합니다.
5,Amumu,32,아무무,Amumu_Passive.png,저주의 손길,아무무의 기본 공격을 받은 대상은 저주에 걸려 마법 피해를 입을 때마다 추가 고정 피해를 받습니다.,AmumuQ.png,붕대 던지기,"[3, 3, 3, 3, 3]",70,1100,아무무가 붕대를 던져 처음 적중한 적에게 붕대를 당겨 다가간 뒤 ?초 동안 기절시키고 ?의 마법 피해를 입힙니다.이 스킬은 2회까지 충전됩니다.,AmumuW.png,절망,"[1, 1, 1, 1, 1]",8,300,활성화/비활성화: 아무무가 울기 시작하여 매초 근처 적에게 ?+최대 체력의 ?에 해당하는 마법 피해를 입히고 저주를 초기화합니다.,AmumuE.png,짜증내기,"[9, 8, 7, 6, 5]",35,350,기본 지속 효과: 아무무가 받는 물리 피해가 ? 감소합니다. 아무무가 기본 공격에 맞으면 이 스킬의 재사용 대기시간이 0.5초 감소합니다.사용 시: 아무무가 짜증을 내며 주변 적에게 ?의 마법 피해를 입힙니다.,AmumuR.png,슬픈 미라의 저주,"[150, 125, 100]",100/150/200,550,"아무무가 붕대를 내던져 ?초 동안 기절시키고, ?의 마법 피해를 입히고, 저주를 내립니다."
6,Anivia,34,애니비아,Anivia_Passive.png,환생,애니비아는 치명적인 피해를 입으면 알 형태로 돌아가 체력을 완전히 회복한 후 환생합니다.,AniviaQ.png,냉기 폭발,"[11, 10, 9, 8, 7]",80/85/90/95/100,1075,애니비아가 거대한 얼음 덩어리를 발사해 ?의 마법 피해를 입히고 적들을 ?초 동안 냉각하여 ?% 둔화시킵니다. 사거리 끝에 다다르면 얼음이 폭발하며 적들을 ?초 동안 기절시키고 ?의 마법 피해를 입힙니다.애니비아가 스킬을 재사용하면 얼음 덩어리가 일찍 폭발합니다.,AniviaW.png,결정화,"[17, 17, 17, 17, 17]",70,1000,애니비아가 ? 너비의 얼음 벽을 만듭니다. 벽은 ?초 뒤 녹습니다.,AniviaE.png,동상,"[4, 4, 4, 4, 4]",50,650,애니비아가 적에게 냉기의 바람을 날려 ?의 마법 피해를 입힙니다. 적이 냉각 상태일 경우 ?의 마법 피해를 입힙니다.,AniviaR.png,얼음 폭풍,"[4, 3, 2]",60,750,"활성화/비활성화: 애니비아가 ?초에 걸쳐 크기가 커지는 얼음의 폭풍우를 소환하여 적에게 초당 ?의 마법 피해를 입히고 ?% 둔화시킵니다.얼음 폭풍이 최대 크기가 되면 적들을 냉각하고 ?% 둔화시키며, 초당 ?의 마법 피해를 입힙니다."
7,Annie,1,애니,Annie_Passive.png,방화광,애니가 스킬을 4번 사용한 후 다음 공격 스킬에 맞은 적은 기절합니다.,AnnieQ.png,붕괴,"[4, 4, 4, 4, 4]",60/65/70/75/80,625,애니가 화염구를 던져 ?의 마법 피해를 입힙니다. 대상이 사망하면 소모한 마나를 돌려받고 재사용 대기시간이 50% 감소합니다.,AnnieW.png,소각,"[8, 8, 8, 8, 8]",90/95/100/105/110,600,애니가 화염파를 발사하여 ?의 마법 피해를 입힙니다.,AnnieE.png,용암 방패,"[14, 13, 12, 11, 10]",40,800,애니가 자신이나 아군에게 ?초 동안 ?의 피해를 흡수하는 보호막을 부여합니다. 보호막으로 인해 이동 속도가 ? 증가한 뒤 ?초에 걸쳐 원래대로 돌아옵니다. 보호막이 지속되는 동안 공격한 적은 ?의 마법 피해를 입습니다.,AnnieR.png,소환: 티버,"[120, 100, 80]",100,600,"애니가 티버를 소환해 ?의 마법 피해를 입힙니다. 티버는 ?초간 주변 적을 불태워 초당 ?의 마법 피해를 입히고 적을 공격해 ?의 마법 피해를 입힙니다. 애니는 이 스킬을 재사용해 티버를 조종할 수 있습니다.애니가 사망하면 티버가 분노하여 공격 속도가 275%, 이동 속도가 100% 증가합니다. 이 효과는 3초에 걸쳐 원래대로 돌아옵니다."
8,Aphelios,523,아펠리오스,Aphelios_Passive.png,암살자와 예언자,"아펠리오스는 쌍둥이 누이 알룬이 만든 다섯 가지의 루나리 무기를 사용합니다. 한 번에 주 무기와 보조 무기 등 총 두 가지 무기를 사용할 수 있습니다. 각 무기는 고유의 기본 공격과 스킬을 가지고 있습니다. 기본 공격과 스킬 사용 시 탄약을 소모하며, 탄약을 모두 소모하면 사용 중인 주 무기를 5개의 무기 중 다음 무기로 교체합니다. ",ApheliosQ.png,무기 스킬,"[9, 9, 9, 9, 9, 9]",60,1450,,ApheliosW.png,위상 변화,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0,250,주 무기와 보조 무기를 교체하여 중력포을 장착합니다.,ApheliosE.png,무기 교체 시스템,"[0, 0, 0, 0, 0, 0]",0,1000,,ApheliosR.png,월광포화,"[120, 110, 100]",100,1300,챔피언에게 적중 시 폭발하는 달빛 에너지를 발사하여 주변 적에게 ?의 물리 피해를 입힙니다.이후 적중한 모든 챔피언을 주 무기로 공격합니다. ? 
9,Ashe,22,애쉬,Ashe_Passive.png,서리 화살,"애쉬의 공격을 받은 대상이 느려지며, 이 대상에 대한 애쉬의 공격력이 상승합니다.애쉬의 치명타는 추가 피해를 가하지 않는 대신, 대상에게 더 강력한 둔화를 적용합니다.",AsheQ.png,궁사의 집중,"[0, 0, 0, 0, 0]",50,400,기본 지속 효과: 애쉬가 기본 공격 시 ?초 동안 유지되는 중첩이 1회 쌓입니다. ?회 중첩 시 이 스킬을 사용할 수 있습니다.사용 시: ?초 동안 애쉬의 공격 속도가 ?% 오르며 기본 공격이 ?의 피해를 입힙니다.,AsheW.png,일제 사격,"[18, 14.5, 11, 7.5, 4]",70,1200,"애쉬가 ?개의 화살을 일제히 쏴 각각 ?의 물리 피해를 입힙니다. 적들은 일제 사격의 여러 화살에 맞을 수 있지만, 그중 첫 번째 화살에만 피해를 입습니다.",AsheE.png,매 날리기,"[5, 5, 5, 5, 5]",0,25000,애쉬가 매를 맵 어느 위치든 날려 보내 5초 동안 시야를 확보합니다. 매는 날아가는 동안 주변 지역을 드러냅니다.이 스킬은 2회까지 충전됩니다. (재충전 시간 ?초),AsheR.png,마법의 수정화살,"[100, 80, 60]",100,25000,애쉬가 얼음 수정 화살을 발사하여 처음으로 맞힌 챔피언에게 ?의 마법 피해를 입히고 기절시킵니다. 기절 지속시간은 화살이 날아가는 거리에 비례하여 ?초까지 증가합니다. 주변의 적들도 절반의 피해를 입습니다.
